id|name|ancestors
kGNtYxgWtmn|Xã Đồng Du|Việt Nam/Hà Nam/Huyện Bình Lục

zMXd082mmwK|Xã Đồn Xá|Việt Nam/Hà Nam/Huyện Bình Lục

HIqiwpk657J|Xã Vũ Bản|Việt Nam/Hà Nam/Huyện Bình Lục

zQYRlcolkkr|Xã Tràng An|Việt Nam/Hà Nam/Huyện Bình Lục

xT0GFbkQjRV|Xã Trung Lương|Việt Nam/Hà Nam/Huyện Bình Lục

eeWk27OQDdX|Xã Tiêu Động|Việt Nam/Hà Nam/Huyện Bình Lục

w8IAERF0mcZ|Xã Ngọc Lũ|Việt Nam/Hà Nam/Huyện Bình Lục

fU0q1XoYajM|Xã Mỹ Thọ|Việt Nam/Hà Nam/Huyện Bình Lục

isrRwipKuiK|Xã La Sơn|Việt Nam/Hà Nam/Huyện Bình Lục

svTEqmHtQv3|Xã Hưng Công|Việt Nam/Hà Nam/Huyện Bình Lục

qJjQpalOIxT|Xã Bồ Đề|Việt Nam/Hà Nam/Huyện Bình Lục

zx0m4znor3J|Xã Bối Cầu|Việt Nam/Hà Nam/Huyện Bình Lục

U0JbQ8YfKxf|Xã Bình Nghĩa|Việt Nam/Hà Nam/Huyện Bình Lục

Y4AjaeeQUhn|Xã An Đổ|Việt Nam/Hà Nam/Huyện Bình Lục

fNBRk5FhMBe|Xã An Nội|Việt Nam/Hà Nam/Huyện Bình Lục

h1Kjy8F4Erm|Xã An Ninh|Việt Nam/Hà Nam/Huyện Bình Lục

SjFcxiffPDr|Xã An Mỹ|Việt Nam/Hà Nam/Huyện Bình Lục

MKjZvkkXqDg|Xã An Lão|Việt Nam/Hà Nam/Huyện Bình Lục

phbod40YTnO|TTYT Huyện Bình Lục|Việt Nam/Hà Nam/Huyện Bình Lục

CGKbbIpIluK|Thị trấn Bình Mỹ|Việt Nam/Hà Nam/Huyện Bình Lục

EM4SIB71z18|PYT Huyện Bình Lục|Việt Nam/Hà Nam/Huyện Bình Lục

duQvQjleppS|Xã Yên Nam|Việt Nam/Hà Nam/Huyện Duy Tiên

fNCMKGoP7LE|Xã Yên Bắc|Việt Nam/Hà Nam/Huyện Duy Tiên

D6vyLrirTZZ|Xã Trác Văn|Việt Nam/Hà Nam/Huyện Duy Tiên

aPKTZx0FqMa|Xã Tiên Sơn|Việt Nam/Hà Nam/Huyện Duy Tiên

ZOjZ8aJb5ur|Xã Tiên Nội|Việt Nam/Hà Nam/Huyện Duy Tiên

Gs0pIp9ACRD|Xã Tiên Ngoại|Việt Nam/Hà Nam/Huyện Duy Tiên

wx2YVgvWg3Z|Xã Mộc Nam|Việt Nam/Hà Nam/Huyện Duy Tiên

UMTSKCsiwZM|Xã Mộc Bắc|Việt Nam/Hà Nam/Huyện Duy Tiên

OP7xEbkDmHY|Xã Hoàng Đông|Việt Nam/Hà Nam/Huyện Duy Tiên

PoDHWAs1hfz|Xã Duy Minh|Việt Nam/Hà Nam/Huyện Duy Tiên

A5Thl9zQS1l|Xã Duy Hải|Việt Nam/Hà Nam/Huyện Duy Tiên

mggrqrVyyrq|Xã Châu Sơn|Việt Nam/Hà Nam/Huyện Duy Tiên

elxAcwmQVwy|Xã Châu Giang|Việt Nam/Hà Nam/Huyện Duy Tiên

R0YxAc7a8Wc|Xã Chuyên Ngoại|Việt Nam/Hà Nam/Huyện Duy Tiên

Gg22gXerXCy|TTYT Huyện Duy Tiên|Việt Nam/Hà Nam/Huyện Duy Tiên

CUQbu3foIHR|Thị trấn Hòa Mạc|Việt Nam/Hà Nam/Huyện Duy Tiên

EeH7TywV0SH|PYT Huyện Duy Tiên|Việt Nam/Hà Nam/Huyện Duy Tiên

iCbiT4LXru5|Phường Đồng Văn|Việt Nam/Hà Nam/Huyện Duy Tiên

YqbMGXjXWq7|Phường Bạch Thượng|Việt Nam/Hà Nam/Huyện Duy Tiên

vcFsbkenSur|Xã Đồng Hoá|Việt Nam/Hà Nam/Huyện Kim Bảng

p1fSiL8k1t1|Xã Đại Cương|Việt Nam/Hà Nam/Huyện Kim Bảng

bz6N54vF3QY|Xã Văn Xá|Việt Nam/Hà Nam/Huyện Kim Bảng

AZY5VZPy4NE|Xã Tượng Lĩnh|Việt Nam/Hà Nam/Huyện Kim Bảng

EZgIQvHZtGI|Xã Tân Sơn|Việt Nam/Hà Nam/Huyện Kim Bảng

vtm5CPh4xu9|Xã Thụy Lôi|Việt Nam/Hà Nam/Huyện Kim Bảng

eDyDSp2KvPm|Xã Thi Sơn|Việt Nam/Hà Nam/Huyện Kim Bảng

WQYEAvTIt3X|Xã Thanh Sơn|Việt Nam/Hà Nam/Huyện Kim Bảng

F16Uvb63HUP|Xã Nhật Tựu|Việt Nam/Hà Nam/Huyện Kim Bảng

cRJwIKUbIaD|Xã Nhật Tân|Việt Nam/Hà Nam/Huyện Kim Bảng

SxuoFjvST20|Xã Ngọc Sơn|Việt Nam/Hà Nam/Huyện Kim Bảng

IalY6VETW5s|Xã Nguyễn Úy|Việt Nam/Hà Nam/Huyện Kim Bảng

SO7iMU3v5w5|Xã Lê Hồ|Việt Nam/Hà Nam/Huyện Kim Bảng

I1cgPTEDR3A|Xã Liên Sơn|Việt Nam/Hà Nam/Huyện Kim Bảng

f43rNyfy52V|Xã Khả Phong|Việt Nam/Hà Nam/Huyện Kim Bảng

DKwfRmPMIMD|Xã Hoàng Tây|Việt Nam/Hà Nam/Huyện Kim Bảng

UyRGOhyyvHN|TTYT Huyện Kim Bảng|Việt Nam/Hà Nam/Huyện Kim Bảng

yVOz8DbREsX|Thị trấn Quế|Việt Nam/Hà Nam/Huyện Kim Bảng

c3TvWuE7Ql2|Thị trấn Ba Sao|Việt Nam/Hà Nam/Huyện Kim Bảng

DK6i4SK0KEs|PYT Huyện Kim Bảng|Việt Nam/Hà Nam/Huyện Kim Bảng

A2eqN0DZtV1|Xã Đức Lý|Việt Nam/Hà Nam/Huyện Lý Nhân

KtM5LgytCEn|Xã Đồng Lý|Việt Nam/Hà Nam/Huyện Lý Nhân

yk0xkNLsFjK|Xã Đạo Lý|Việt Nam/Hà Nam/Huyện Lý Nhân

ri2RTTVhAcT|Xã Xuân Khê|Việt Nam/Hà Nam/Huyện Lý Nhân

BqCHbeaba0N|Xã Văn Lý|Việt Nam/Hà Nam/Huyện Lý Nhân

wJ4LCwYYZi8|Xã Trần Hưng Đạo|Việt Nam/Hà Nam/Huyện Lý Nhân

bxvlFBAnopb|Xã Tiến Thắng|Việt Nam/Hà Nam/Huyện Lý Nhân

NndSsRkSG07|Xã Phú Phúc|Việt Nam/Hà Nam/Huyện Lý Nhân

JuYrMoWGxN0|Xã Nhân Thịnh|Việt Nam/Hà Nam/Huyện Lý Nhân

UACx4Lrz38w|Xã Nhân Nghĩa|Việt Nam/Hà Nam/Huyện Lý Nhân

DPpxcP06HFW|Xã Nhân Mỹ|Việt Nam/Hà Nam/Huyện Lý Nhân

E9dX5LPcOM0|Xã Nhân Khang|Việt Nam/Hà Nam/Huyện Lý Nhân

DKUtegZvsqA|Xã Nhân Hưng|Việt Nam/Hà Nam/Huyện Lý Nhân

g2wtCYQQxbw|Xã Nhân Chính|Việt Nam/Hà Nam/Huyện Lý Nhân

HqbZrr37N4Q|Xã Nhân Bình|Việt Nam/Hà Nam/Huyện Lý Nhân

YCYghtx7qCV|Xã Nguyên Lý|Việt Nam/Hà Nam/Huyện Lý Nhân

XGpD7mMttyu|Xã Hợp Lý|Việt Nam/Hà Nam/Huyện Lý Nhân

UI12Ub4MEPV|Xã Hòa Hậu|Việt Nam/Hà Nam/Huyện Lý Nhân

iWF3owdCYGe|Xã Công Lý|Việt Nam/Hà Nam/Huyện Lý Nhân

H3nkR0BLUTS|Xã Chính Lý|Việt Nam/Hà Nam/Huyện Lý Nhân

IegqASln8Qk|Xã Chân Lý|Việt Nam/Hà Nam/Huyện Lý Nhân

LBSVNB2n7Ko|Xã Bắc Lý|Việt Nam/Hà Nam/Huyện Lý Nhân

SndAcdzqt1u|TTYT Huyện Lý Nhân|Việt Nam/Hà Nam/Huyện Lý Nhân

MDsLr3szgQe|Thị trấn Vĩnh Trụ|Việt Nam/Hà Nam/Huyện Lý Nhân

P7TFkd1JSAf|PYT Huyện Lý Nhân|Việt Nam/Hà Nam/Huyện Lý Nhân

iISCN7uEEOH|Xã Thanh Tân|Việt Nam/Hà Nam/Huyện Thanh Liêm

UMF9ogXDSiU|Xã Thanh Tâm|Việt Nam/Hà Nam/Huyện Thanh Liêm

isF1cwfYGIa|Xã Thanh Thủy|Việt Nam/Hà Nam/Huyện Thanh Liêm

Fq3Z3mdIzEi|Xã Thanh Phong|Việt Nam/Hà Nam/Huyện Thanh Liêm

cmNb4JnwQI7|Xã Thanh Nguyên|Việt Nam/Hà Nam/Huyện Thanh Liêm

gmUz1RPvjvO|Xã Thanh Nghị|Việt Nam/Hà Nam/Huyện Thanh Liêm

fyyF4JxSSAx|Xã Thanh Lưu|Việt Nam/Hà Nam/Huyện Thanh Liêm

x2WNpbMsanu|Xã Thanh Hải|Việt Nam/Hà Nam/Huyện Thanh Liêm

kZyKZp8oBxQ|Xã Thanh Hương|Việt Nam/Hà Nam/Huyện Thanh Liêm

laGbGakH3Jl|Xã Thanh Hà|Việt Nam/Hà Nam/Huyện Thanh Liêm

A0yd74ppAu7|Xã Liêm Túc|Việt Nam/Hà Nam/Huyện Thanh Liêm

YcHxKHu96Cb|Xã Liêm Thuận|Việt Nam/Hà Nam/Huyện Thanh Liêm

PAy0dtn8v8j|Xã Liêm Sơn|Việt Nam/Hà Nam/Huyện Thanh Liêm

D0BebPAFcct|Xã Liêm Phong|Việt Nam/Hà Nam/Huyện Thanh Liêm

y9nlZZRpRrV|Xã Liêm Cần|Việt Nam/Hà Nam/Huyện Thanh Liêm

UmyTw8XGVea|TTYT Huyện Thanh Liêm|Việt Nam/Hà Nam/Huyện Thanh Liêm

zWXiThbeVir|Thị Trấn Tân Thanh|Việt Nam/Hà Nam/Huyện Thanh Liêm

ahqNJhmhIBB|Thị trấn Kiện Khê|Việt Nam/Hà Nam/Huyện Thanh Liêm

W4FhZfiAHXr|PYT Huyện Thanh Liêm|Việt Nam/Hà Nam/Huyện Thanh Liêm

irzJn1GPOz6|Xã Đinh Xá|Việt Nam/Hà Nam/Thành phố Phủ Lý

GVVbDhslDTm|Xã Trịnh Xá|Việt Nam/Hà Nam/Thành phố Phủ Lý

iBYF55EJTEj|Xã Tiên Tân|Việt Nam/Hà Nam/Thành phố Phủ Lý

WcJQRbUUN9p|Xã Tiên Hải|Việt Nam/Hà Nam/Thành phố Phủ Lý

CWwV64lTSmh|Xã Tiên Hiệp|Việt Nam/Hà Nam/Thành phố Phủ Lý

G0dM9UpnWwg|Xã Phù Vân|Việt Nam/Hà Nam/Thành phố Phủ Lý

cLdoxVZ2CzT|Xã Liêm Tuyền|Việt Nam/Hà Nam/Thành phố Phủ Lý

uFdITLFznxQ|Xã Liêm Tiết|Việt Nam/Hà Nam/Thành phố Phủ Lý

dOV59LB3ybZ|Xã Liêm Chung|Việt Nam/Hà Nam/Thành phố Phủ Lý

GuDj0dsIDAD|Xã Kim Bình|Việt Nam/Hà Nam/Thành phố Phủ Lý

sx7BLBeTQWT|TTYT Thành phố Phủ Lý|Việt Nam/Hà Nam/Thành phố Phủ Lý

qC7Vdvc6kM1|PYT Thành phố Phủ Lý|Việt Nam/Hà Nam/Thành phố Phủ Lý

Je0ceaPLJV2|Phường Trần Hưng Đạo|Việt Nam/Hà Nam/Thành phố Phủ Lý

QQLRnnY2U00|Phường Thanh Tuyền|Việt Nam/Hà Nam/Thành phố Phủ Lý

JkW4y1tfYos|Phường Thanh Châu|Việt Nam/Hà Nam/Thành phố Phủ Lý

b3Gi09mdb6S|Phường Quang Trung|Việt Nam/Hà Nam/Thành phố Phủ Lý

XOgkO9gzXVo|Phường Minh Khai|Việt Nam/Hà Nam/Thành phố Phủ Lý

AsLOkMxXUZM|Phường Lương Khánh Thiện|Việt Nam/Hà Nam/Thành phố Phủ Lý

t6YmGnXN6XH|Phường Lê Hồng Phong|Việt Nam/Hà Nam/Thành phố Phủ Lý

LHULz4tbkU1|Phường Liêm Chính|Việt Nam/Hà Nam/Thành phố Phủ Lý

odlfeuPouoH|Phường Lam Hạ|Việt Nam/Hà Nam/Thành phố Phủ Lý

P5bhgNLZWF8|Phường Hai Bà Trưng|Việt Nam/Hà Nam/Thành phố Phủ Lý

BFUxFlCDAov|Phường Châu Sơn|Việt Nam/Hà Nam/Thành phố Phủ Lý

